run_id,milestone,variant,status,total_collision,collided_agents,avg_min_dist,total_success,avg_reward,collision_avoidance_score,train_final_reward,run_dir,checkpoint,test_summary_csv
M2_C01,M2,reward_progress_safe_profile,DONE,7,7,0.226,5,-12.48,-88.9416,,/home/wj/work/multi-robot-exploration-rl/ray_results/reward_search/GNN_MAPPO_Stage1_Interact_reward_progress_safe_profile_EnvStage1,/home/wj/work/multi-robot-exploration-rl/ray_results/reward_search/GNN_MAPPO_Stage1_Interact_reward_progress_safe_profile_EnvStage1/best,/home/wj/work/multi-robot-exploration-rl/train_logs/test_summaries/reward_search/reward_progress_safe_profile/test_summary.csv
M2_C02,M2,reward_anti_reverse_profile,DONE,2,2,0.249,7,-41.7,-16.342,,/home/wj/work/multi-robot-exploration-rl/ray_results/reward_search/GNN_MAPPO_Stage1_Interact_reward_anti_reverse_profile_EnvStage1,/home/wj/work/multi-robot-exploration-rl/ray_results/reward_search/GNN_MAPPO_Stage1_Interact_reward_anti_reverse_profile_EnvStage1/best,/home/wj/work/multi-robot-exploration-rl/train_logs/test_summaries/reward_search/reward_anti_reverse_profile/test_summary.csv
M2_C03,M2,reward_event_light_profile,DONE,5,5,0.229,6,-18.74,-59.54280000000001,,/home/wj/work/multi-robot-exploration-rl/ray_results/reward_search/GNN_MAPPO_Stage1_Interact_reward_event_light_profile_EnvStage1,/home/wj/work/multi-robot-exploration-rl/ray_results/reward_search/GNN_MAPPO_Stage1_Interact_reward_event_light_profile_EnvStage1/best,/home/wj/work/multi-robot-exploration-rl/train_logs/test_summaries/reward_search/reward_event_light_profile/test_summary.csv
M2_C04,M2,reward_high_risk_avoidance,DONE,3,3,0.252,7,-5.19,-29.5878,,/home/wj/work/multi-robot-exploration-rl/ray_results/reward_search/GNN_MAPPO_Stage1_Interact_reward_high_risk_avoidance_EnvStage1,/home/wj/work/multi-robot-exploration-rl/ray_results/reward_search/GNN_MAPPO_Stage1_Interact_reward_high_risk_avoidance_EnvStage1/best,/home/wj/work/multi-robot-exploration-rl/train_logs/test_summaries/reward_search/reward_high_risk_avoidance/test_summary.csv
M2_C05,M2,reward_safe_turn_ttc_focus,DONE,5,5,0.228,7,-4.59,-57.7678,,/home/wj/work/multi-robot-exploration-rl/ray_results/reward_search/GNN_MAPPO_Stage1_Interact_reward_safe_turn_ttc_focus_EnvStage1,/home/wj/work/multi-robot-exploration-rl/ray_results/reward_search/GNN_MAPPO_Stage1_Interact_reward_safe_turn_ttc_focus_EnvStage1/best,/home/wj/work/multi-robot-exploration-rl/train_logs/test_summaries/reward_search/reward_safe_turn_ttc_focus/test_summary.csv
M2_C06,M2,reward_conflict_suppressed,TEST_FAILED,,,,,,,,/home/wj/work/multi-robot-exploration-rl/ray_results/reward_search/GNN_MAPPO_Stage1_Interact_reward_conflict_suppressed_EnvStage1,/home/wj/work/multi-robot-exploration-rl/ray_results/reward_search/GNN_MAPPO_Stage1_Interact_reward_conflict_suppressed_EnvStage1/best,/home/wj/work/multi-robot-exploration-rl/train_logs/test_summaries/reward_search/reward_conflict_suppressed/test_summary.csv
M2_C07,M2,reward_detour_loop_suppressed,DONE,9,9,0.219,2,-19.18,-121.6316,,/home/wj/work/multi-robot-exploration-rl/ray_results/reward_search/GNN_MAPPO_Stage1_Interact_reward_detour_loop_suppressed_EnvStage1,/home/wj/work/multi-robot-exploration-rl/ray_results/reward_search/GNN_MAPPO_Stage1_Interact_reward_detour_loop_suppressed_EnvStage1/best,/home/wj/work/multi-robot-exploration-rl/train_logs/test_summaries/reward_search/reward_detour_loop_suppressed/test_summary.csv
M2_C08,M2,reward_interaction_clipped,DONE,6,6,0.214,2,-71.47,-80.7174,,/home/wj/work/multi-robot-exploration-rl/ray_results/reward_search/GNN_MAPPO_Stage1_Interact_reward_interaction_clipped_EnvStage1,/home/wj/work/multi-robot-exploration-rl/ray_results/reward_search/GNN_MAPPO_Stage1_Interact_reward_interaction_clipped_EnvStage1/best,/home/wj/work/multi-robot-exploration-rl/train_logs/test_summaries/reward_search/reward_interaction_clipped/test_summary.csv
