segment,stage,map_number,num_obstacles,obs_speed_scale,segment_steps,resume_source,resume_ckpt,output_ckpt
1,1,6,0,0.0,50000,internal,,/home/wj/work/multi-robot-exploration-rl/ray_results/pool_serial_switch_parallel_collect/GNN_MAPPO_ScenePool_pool_serial_switch_parallel_collect_EnvStage1/best
2,1,6,0,0.0,50000,internal,/home/wj/work/multi-robot-exploration-rl/ray_results/pool_serial_switch_parallel_collect/GNN_MAPPO_ScenePool_pool_serial_switch_parallel_collect_EnvStage1/best,/home/wj/work/multi-robot-exploration-rl/ray_results/pool_serial_switch_parallel_collect/GNN_MAPPO_ScenePool_pool_serial_switch_parallel_collect_EnvStage1/best
3,1,6,0,0.0,50000,internal,/home/wj/work/multi-robot-exploration-rl/ray_results/pool_serial_switch_parallel_collect/GNN_MAPPO_ScenePool_pool_serial_switch_parallel_collect_EnvStage1/best,/home/wj/work/multi-robot-exploration-rl/ray_results/pool_serial_switch_parallel_collect/GNN_MAPPO_ScenePool_pool_serial_switch_parallel_collect_EnvStage1/best
4,1,6,0,0.0,50000,internal,/home/wj/work/multi-robot-exploration-rl/ray_results/pool_serial_switch_parallel_collect/GNN_MAPPO_ScenePool_pool_serial_switch_parallel_collect_EnvStage1/best,/home/wj/work/multi-robot-exploration-rl/ray_results/pool_serial_switch_parallel_collect/GNN_MAPPO_ScenePool_pool_serial_switch_parallel_collect_EnvStage1/best
